Formula_ID,Notes,rHDPE (%),Virgin HDPE (%),Filler_1,F1_Content (%),F1_Supplier,F1_Functional Class,Filler_2,F2_Content (%),F2_Supplier,F2_Functional Class,Filler_3,F3_Content (%),F3_Supplier,F3_Functional Class,Additive_1,A1_Content (%),A1_Supplier,A1_Functional Class,Additive_2,A2_Content (%),A2_Supplier,A2_Functional Class,Additive_3,A3_Content (%),A3_Supplier,A3_Functional Class,Density (g/cc),Shore hardness (D),Melt Flow Index (g/10 min),Intrinsic Viscosity (dL/g),Tensile Strength (MPa),Young's Modulus (GPa),Elongation at Break (%),Impact Strength (kJ/m²),Haze (%),Crystallinity (%),Glass Transition Temp (°C),Melting Temp (°C),Degradation Temp (°C),OIT @200°C (min),WVTR (g/m²/day),OTR (cc/m²/day),Shrinkage (ASTM D955) (%),FTIR Peak 1 (cm⁻¹),FTIR Peak 2 (cm⁻¹),Cost ($/kg),Cost ($/lb),CO2 Equivalent (kg CO2/kg),kg produced annually,Processing Recommendations,F1_Safety,F2_Safety,F3_Safety,A1_Safety,A2_Safety,A3_Safety,Safety Summary
rHDPE_0026,Generated,85.249,14.52,,0.0,,,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1010,0.081,BASF,primary_antioxidant,,0.0,,,0.9521,70.3,10.3363,0.5331,29.284,1.0696,1659.4,8.073,98.5,64.05,-120.6,128.0,362.3,17.9,0.35,250.0,2.405,2915,2848,1.212,0.55,0.808,"3,401,799,435","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow).",,,,May bloom; slippery surfaces.,Phenolic AO; low volatility; PPE for powders.,,Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1010: Phenolic AO; low volatility; PPE for powders.
rHDPE_0027,Generated,73.077,14.666,Calcium Carbonate,12.024,Omya,mineral_filler,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1076,0.083,BASF,primary_antioxidant,,0.0,,,0.95041,67.0,10.6177,0.5268,28.371,1.1748,1439.5,7.961,95.7,58.52,-123.7,130.5,351.1,14.2,0.3263,234.15,1.76,2915,2848,1.992,0.904,1.073,"166,333,999","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow). Minerals/platelets: ensure dispersion; check die pressure; plate-like fillers improve barrier but reduce impact.",Dust; food-contact grades available.,,,May bloom; slippery surfaces.,Avoid dust inhalation; food-contact grades available.,,Calcium Carbonate: Dust; food-contact grades available. | Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1076: Avoid dust inhalation; food-contact grades available.
rHDPE_0028,Generated,83.573,16.159,,0.0,,,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1010,0.118,BASF,primary_antioxidant,,0.0,,,0.95169,70.2,9.113,0.5367,27.108,1.0951,1700.9,8.073,92.2,63.8,-120.3,131.0,351.9,20.1,0.35,250.0,2.38,2915,2848,1.217,0.552,0.81,"3,470,020,222","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow).",,,,May bloom; slippery surfaces.,Phenolic AO; low volatility; PPE for powders.,,Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1010: Phenolic AO; low volatility; PPE for powders.
rHDPE_0029,Generated,66.345,33.505,,0.0,,,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,,0.0,,,,0.0,,,0.95124,69.9,10.4853,0.532,27.368,1.0239,1268.6,8.073,96.1,63.39,-115.5,129.9,359.0,13.7,0.35,250.0,2.339,2915,2848,1.189,0.539,0.804,"4,371,090,512","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow).",,,,May bloom; slippery surfaces.,,,Slip (Erucamide): May bloom; slippery surfaces.
rHDPE_0030,Generated,93.982,5.732,,0.0,,,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1076,0.136,BASF,primary_antioxidant,,0.0,,,0.95454,67.5,11.7659,0.5243,27.96,1.0198,1698.3,8.073,98.1,58.75,-122.6,130.8,360.6,17.4,0.35,250.0,1.875,2915,2848,1.223,0.555,0.811,"3,085,697,261","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow).",,,,May bloom; slippery surfaces.,Avoid dust inhalation; food-contact grades available.,,Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1076: Avoid dust inhalation; food-contact grades available.
rHDPE_0031,Generated,79.918,19.808,,0.0,,,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irgafos 168,0.124,BASF,secondary_antioxidant,,0.0,,,0.95253,67.2,11.3983,0.5247,25.528,1.0822,1776.5,8.073,97.3,58.41,-118.6,131.3,374.8,15.1,0.35,250.0,1.841,2915,2848,1.207,0.547,0.809,"3,628,719,437","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow).",,,,May bloom; slippery surfaces.,Hydrolysis-sensitive; keep dry; PPE.,,Slip (Erucamide): May bloom; slippery surfaces. | Irgafos 168: Hydrolysis-sensitive; keep dry; PPE.
rHDPE_0032,Generated,80.846,18.836,,0.0,,,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irgafos 168,0.168,BASF,secondary_antioxidant,,0.0,,,0.95161,66.7,11.7385,0.523,27.254,1.0279,1650.3,8.073,93.3,57.45,-117.5,130.7,361.8,15.9,0.35,250.0,1.745,2915,2848,1.211,0.549,0.811,"3,587,066,769","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow).",,,,May bloom; slippery surfaces.,Hydrolysis-sensitive; keep dry; PPE.,,Slip (Erucamide): May bloom; slippery surfaces. | Irgafos 168: Hydrolysis-sensitive; keep dry; PPE.
rHDPE_0033,Generated,87.241,12.419,,0.0,,,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irgafos 168,0.19,BASF,secondary_antioxidant,,0.0,,,0.95138,65.3,11.7923,0.5205,28.6,1.0086,1493.1,8.073,97.9,55.1,-117.1,130.8,372.7,16.0,0.35,250.0,1.51,2915,2848,1.216,0.552,0.812,"3,324,125,125","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow).",,,,May bloom; slippery surfaces.,Hydrolysis-sensitive; keep dry; PPE.,,Slip (Erucamide): May bloom; slippery surfaces. | Irgafos 168: Hydrolysis-sensitive; keep dry; PPE.
rHDPE_0034,Generated,77.027,10.717,Talc,11.907,Imerys,mineral_filler,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1076,0.199,BASF,primary_antioxidant,,0.0,,,0.95208,67.8,9.1423,0.5328,31.718,1.1673,1315.9,7.788,97.7,60.01,-116.1,131.9,374.4,12.5,0.3133,214.92,1.91,2915,2848,1.134,0.514,1.076,"167,968,422","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow). Minerals/platelets: ensure dispersion; check die pressure; plate-like fillers improve barrier but reduce impact.",Mineral dust; PPE; choose low-impurity grades.,,,May bloom; slippery surfaces.,Avoid dust inhalation; food-contact grades available.,,Talc: Mineral dust; PPE; choose low-impurity grades. | Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1076: Avoid dust inhalation; food-contact grades available.
rHDPE_0035,Generated,68.82,20.636,Calcium Carbonate,10.3,Omya,mineral_filler,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1010,0.094,BASF,primary_antioxidant,,0.0,,,0.95174,69.1,8.4399,0.5378,27.383,1.1143,1343.1,7.978,90.2,62.23,-115.6,130.6,376.5,11.3,0.3299,236.55,2.144,2915,2848,1.881,0.853,1.036,"194,174,757","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow). Minerals/platelets: ensure dispersion; check die pressure; plate-like fillers improve barrier but reduce impact.",Dust; food-contact grades available.,,,May bloom; slippery surfaces.,Phenolic AO; low volatility; PPE for powders.,,Calcium Carbonate: Dust; food-contact grades available. | Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1010: Phenolic AO; low volatility; PPE for powders.
rHDPE_0036,Generated,65.883,33.792,,0.0,,,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1010,0.11,BASF,primary_antioxidant,Irgafos 168,0.065,BASF,secondary_antioxidant,0.95315,65.6,8.5968,0.5304,26.519,1.0563,1796.4,8.073,92.3,55.54,-123.7,131.1,371.3,18.9,0.35,250.0,1.554,2915,2848,1.213,0.55,0.812,"4,401,742,483","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow).",,,,May bloom; slippery surfaces.,Phenolic AO; low volatility; PPE for powders.,Hydrolysis-sensitive; keep dry; PPE.,Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1010: Phenolic AO; low volatility; PPE for powders. | Irgafos 168: Hydrolysis-sensitive; keep dry; PPE.
rHDPE_0037,Generated,83.885,15.768,,0.0,,,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1076,0.135,BASF,primary_antioxidant,Irgafos 168,0.062,BASF,secondary_antioxidant,0.9548,66.0,11.0509,0.5231,26.323,1.0626,1248.7,8.073,96.9,55.99,-121.8,130.2,355.5,14.9,0.35,250.0,1.599,2915,2848,1.223,0.555,0.814,"3,457,113,906","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow).",,,,May bloom; slippery surfaces.,Avoid dust inhalation; food-contact grades available.,Hydrolysis-sensitive; keep dry; PPE.,Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1076: Avoid dust inhalation; food-contact grades available. | Irgafos 168: Hydrolysis-sensitive; keep dry; PPE.
rHDPE_0038,Generated,66.705,9.895,Calcium Carbonate,23.25,Omya,mineral_filler,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,,0.0,,,,0.0,,,0.95449,68.6,10.4387,0.5303,32.71,1.3896,1438.1,7.838,91.9,61.61,-118.4,131.6,379.3,10.7,0.3015,217.39,1.967,2915,2848,2.712,1.23,1.316,"86,021,505","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow). Minerals/platelets: ensure dispersion; check die pressure; plate-like fillers improve barrier but reduce impact.",Dust; food-contact grades available.,,,May bloom; slippery surfaces.,,,Calcium Carbonate: Dust; food-contact grades available. | Slip (Erucamide): May bloom; slippery surfaces.
rHDPE_0039,Generated,55.389,26.214,Calcium Carbonate,18.094,Omya,mineral_filler,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1076,0.153,BASF,primary_antioxidant,,0.0,,,0.95513,68.0,9.8306,0.5308,29.093,1.2126,1395.8,7.897,98.5,60.27,-118.0,129.0,353.5,20.4,0.3133,225.35,1.882,2915,2848,2.391,1.085,1.21,"110,533,879","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow). Minerals/platelets: ensure dispersion; check die pressure; plate-like fillers improve barrier but reduce impact.",Dust; food-contact grades available.,,,May bloom; slippery surfaces.,Avoid dust inhalation; food-contact grades available.,,Calcium Carbonate: Dust; food-contact grades available. | Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1076: Avoid dust inhalation; food-contact grades available.
rHDPE_0040,Generated,76.32,23.53,,0.0,,,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,,0.0,,,,0.0,,,0.95378,68.0,10.606,0.528,25.907,1.0916,1551.2,8.073,93.3,59.71,-118.7,130.0,353.2,13.5,0.35,250.0,1.971,2915,2848,1.194,0.542,0.804,"3,799,790,356","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow).",,,,May bloom; slippery surfaces.,,,Slip (Erucamide): May bloom; slippery surfaces.
rHDPE_0041,Generated,69.68,30.021,,0.0,,,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1076,0.149,BASF,primary_antioxidant,,0.0,,,0.952,69.5,8.1468,0.5394,26.262,1.0088,1269.6,8.073,98.7,62.6,-116.1,131.5,378.9,10.4,0.35,250.0,2.26,2915,2848,1.212,0.55,0.812,"4,161,882,893","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow).",,,,May bloom; slippery surfaces.,Avoid dust inhalation; food-contact grades available.,,Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1076: Avoid dust inhalation; food-contact grades available.
rHDPE_0042,Generated,77.977,21.792,,0.0,,,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1010,0.081,BASF,primary_antioxidant,,0.0,,,0.95275,70.5,9.7525,0.535,25.607,1.0698,1783.9,8.073,95.5,64.28,-118.5,129.0,355.6,15.8,0.35,250.0,2.428,2915,2848,1.208,0.548,0.808,"3,719,045,360","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow).",,,,May bloom; slippery surfaces.,Phenolic AO; low volatility; PPE for powders.,,Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1010: Phenolic AO; low volatility; PPE for powders.
rHDPE_0043,Generated,41.521,34.729,Calcium Carbonate,8.713,Omya,mineral_filler,Talc,14.697,Imerys,mineral_filler,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1076,0.19,BASF,primary_antioxidant,,0.0,,,0.95271,67.9,9.6959,0.5315,30.999,1.327,1202.8,7.639,98.2,60.54,-119.0,131.1,355.2,11.2,0.2872,195.87,1.859,2915,2848,1.665,0.755,1.329,"136,082,194","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow). Minerals/platelets: ensure dispersion; check die pressure; plate-like fillers improve barrier but reduce impact.",Dust; food-contact grades available.,Mineral dust; PPE; choose low-impurity grades.,,May bloom; slippery surfaces.,Avoid dust inhalation; food-contact grades available.,,Calcium Carbonate: Dust; food-contact grades available. | Talc: Mineral dust; PPE; choose low-impurity grades. | Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1076: Avoid dust inhalation; food-contact grades available.
rHDPE_0044,Generated,90.159,9.351,,0.0,,,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irgafos 168,0.223,BASF,secondary_antioxidant,Irganox 1076,0.117,BASF,primary_antioxidant,0.95242,67.2,11.0515,0.5255,29.664,1.0377,1721.8,8.073,94.1,58.32,-113.7,129.0,363.5,20.8,0.35,250.0,1.832,2915,2848,1.238,0.561,0.82,"3,216,539,669","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow).",,,,May bloom; slippery surfaces.,Hydrolysis-sensitive; keep dry; PPE.,Avoid dust inhalation; food-contact grades available.,Slip (Erucamide): May bloom; slippery surfaces. | Irgafos 168: Hydrolysis-sensitive; keep dry; PPE. | Irganox 1076: Avoid dust inhalation; food-contact grades available.
rHDPE_0045,Generated,51.048,16.554,Calcium Carbonate,24.203,Omya,mineral_filler,Talc,7.976,Imerys,mineral_filler,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1010,0.069,BASF,primary_antioxidant,,0.0,,,0.95136,69.6,8.1575,0.5409,32.198,1.5013,1166.5,7.647,93.1,64.16,-116.3,131.9,353.2,18.1,0.274,192.45,2.129,2915,2848,2.718,1.233,1.516,"82,634,384","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow). Minerals/platelets: ensure dispersion; check die pressure; plate-like fillers improve barrier but reduce impact.",Dust; food-contact grades available.,Mineral dust; PPE; choose low-impurity grades.,,May bloom; slippery surfaces.,Phenolic AO; low volatility; PPE for powders.,,Calcium Carbonate: Dust; food-contact grades available. | Talc: Mineral dust; PPE; choose low-impurity grades. | Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1010: Phenolic AO; low volatility; PPE for powders.
rHDPE_0046,Generated,72.487,11.5,Talc,15.669,Imerys,mineral_filler,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irgafos 168,0.194,BASF,secondary_antioxidant,,0.0,,,0.95479,65.6,8.1716,0.5327,33.951,1.2659,1669.8,7.688,99.2,55.95,-117.3,129.8,353.7,17.6,0.3015,204.16,1.472,2915,2848,1.092,0.495,1.157,"127,640,564","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow). Minerals/platelets: ensure dispersion; check die pressure; plate-like fillers improve barrier but reduce impact.",Mineral dust; PPE; choose low-impurity grades.,,,May bloom; slippery surfaces.,Hydrolysis-sensitive; keep dry; PPE.,,Talc: Mineral dust; PPE; choose low-impurity grades. | Slip (Erucamide): May bloom; slippery surfaces. | Irgafos 168: Hydrolysis-sensitive; keep dry; PPE.
rHDPE_0047,Generated,55.563,24.29,Calcium Carbonate,10.245,Omya,mineral_filler,Talc,9.752,Imerys,mineral_filler,,0.0,,,Slip (Erucamide),0.15,Generic,slip,,0.0,,,,0.0,,,0.95173,67.5,10.5529,0.5281,30.263,1.2444,1464.0,7.752,92.7,59.64,-121.2,130.8,367.7,15.8,0.2998,207.98,1.801,2915,2848,1.781,0.808,1.244,"195,217,179","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow). Minerals/platelets: ensure dispersion; check die pressure; plate-like fillers improve barrier but reduce impact.",Dust; food-contact grades available.,Mineral dust; PPE; choose low-impurity grades.,,May bloom; slippery surfaces.,,,Calcium Carbonate: Dust; food-contact grades available. | Talc: Mineral dust; PPE; choose low-impurity grades. | Slip (Erucamide): May bloom; slippery surfaces.
rHDPE_0048,Generated,68.306,31.462,,0.0,,,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irgafos 168,0.082,BASF,secondary_antioxidant,,0.0,,,0.95221,67.2,10.3503,0.5274,27.122,1.0639,1350.1,8.073,92.4,58.46,-116.2,128.8,363.5,15.3,0.35,250.0,1.846,2915,2848,1.197,0.543,0.807,"4,245,600,679","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow).",,,,May bloom; slippery surfaces.,Hydrolysis-sensitive; keep dry; PPE.,,Slip (Erucamide): May bloom; slippery surfaces. | Irgafos 168: Hydrolysis-sensitive; keep dry; PPE.
rHDPE_0049,Generated,46.126,20.118,Talc,14.344,Imerys,mineral_filler,Calcium Carbonate,19.127,Omya,mineral_filler,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1010,0.135,BASF,primary_antioxidant,,0.0,,,0.95118,68.4,9.6852,0.5329,34.194,1.5146,1497.7,7.545,97.4,61.94,-118.9,129.5,372.9,16.8,0.2654,182.03,1.892,2915,2848,2.347,1.064,1.547,"104,564,229","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow). Minerals/platelets: ensure dispersion; check die pressure; plate-like fillers improve barrier but reduce impact.",Mineral dust; PPE; choose low-impurity grades.,Dust; food-contact grades available.,,May bloom; slippery surfaces.,Phenolic AO; low volatility; PPE for powders.,,Talc: Mineral dust; PPE; choose low-impurity grades. | Calcium Carbonate: Dust; food-contact grades available. | Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1010: Phenolic AO; low volatility; PPE for powders.
rHDPE_0050,Generated,58.469,21.989,Talc,15.182,Imerys,mineral_filler,Calcium Carbonate,4.073,Omya,mineral_filler,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1010,0.137,BASF,primary_antioxidant,,0.0,,,0.952,69.4,8.5672,0.5382,32.486,1.2417,1645.1,7.667,98.7,63.18,-119.7,131.7,379.4,13.0,0.2951,200.52,2.162,2915,2848,1.361,0.617,1.235,"131,734,949","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow). Minerals/platelets: ensure dispersion; check die pressure; plate-like fillers improve barrier but reduce impact.",Mineral dust; PPE; choose low-impurity grades.,Dust; food-contact grades available.,,May bloom; slippery surfaces.,Phenolic AO; low volatility; PPE for powders.,,Talc: Mineral dust; PPE; choose low-impurity grades. | Calcium Carbonate: Dust; food-contact grades available. | Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1010: Phenolic AO; low volatility; PPE for powders.
rHDPE_0051,Generated,66.192,28.227,Calcium Carbonate,5.237,Omya,mineral_filler,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1076,0.194,BASF,primary_antioxidant,,0.0,,,0.95494,70.1,10.8551,0.5313,31.063,1.1569,1663.4,8.026,94.6,63.67,-121.3,131.2,350.6,16.1,0.34,243.34,2.329,2915,2848,1.56,0.708,0.929,"381,898,033","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow). Minerals/platelets: ensure dispersion; check die pressure; plate-like fillers improve barrier but reduce impact.",Dust; food-contact grades available.,,,May bloom; slippery surfaces.,Avoid dust inhalation; food-contact grades available.,,Calcium Carbonate: Dust; food-contact grades available. | Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1076: Avoid dust inhalation; food-contact grades available.
rHDPE_0052,Generated,50.573,28.785,Calcium Carbonate,2.576,Omya,mineral_filler,Talc,17.916,Imerys,mineral_filler,,0.0,,,Slip (Erucamide),0.15,Generic,slip,,0.0,,,,0.0,,,0.95339,70.5,8.737,0.5393,34.655,1.2555,1591.6,7.604,93.6,64.99,-122.0,129.7,355.2,19.5,0.2893,194.67,2.332,2915,2848,1.215,0.551,1.255,"111,632,061","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow). Minerals/platelets: ensure dispersion; check die pressure; plate-like fillers improve barrier but reduce impact.",Dust; food-contact grades available.,Mineral dust; PPE; choose low-impurity grades.,,May bloom; slippery surfaces.,,,Calcium Carbonate: Dust; food-contact grades available. | Talc: Mineral dust; PPE; choose low-impurity grades. | Slip (Erucamide): May bloom; slippery surfaces.
